item,itemLabel,position,positionLabel,startDate,endDate,psid
Q11046276,James Kok Ruea,Q112686609,Humanitarian Affairs and Disaster Managemen,2011-07-10,2011-08-26,Q11046276-52281166-548A-4764-8145-46116E917952
Q11056929,Nyaluk T. Gatluak,Q112685797,Animal Resources and Fisheries,2011-07-10,2011-08-26,Q11056929-2E2942DB-A8FD-4342-BB5F-970BDDD6924D
Q112686605,Jemma Nunu Kumba,Q112686600,Housing and Physical Planning,2011-07,2013-07-23,Q112686605-ED439CE1-A595-4CE5-8000-28E6F6590A1E
Q112712521,Pricilla Nyanyang,Q112712716,Minister without Portfolio,2011-07-10,2011-08-26,Q112712521-091C2E20-26D1-4B75-B916-DD3CD3F59A1B
Q12748065,Awut Deng Acuil,Q112686684,Labor and Public Service,2009,2016-04,Q12748065-7DD4F533-7E17-4716-917F-D7F3A56548EC
Q12748612,Isaac Awan Maper,Q112686565,Environment,2011-07-10,2011-08-26,Q12748612-01830C45-1858-45E8-B073-23A25361DD83
Q12754768,Makuac Teny Youk,Q112712925,"Youth, Sports and Recreation",2011-07-10,2011-08-26,Q12754768-5E23D0DB-90A5-41FB-A2A4-73DA0858BA49
Q12756916,Oyay Deng Ajak,Q112707129,Investment,2011-07-10,2011-08-26,Q12756916-60CB04FB-9AC7-46E7-9B47-755D82F3DCE0
Q2046108,Pagan Amum Okiech,Q112686299,Peace and CPA Implementation,2011-07-23,2015,Q2046108-D06AC785-88F7-4D32-9A52-5501FA792058
Q2344633,Stephen Dheiu Dau,Q112686036,Commerce and Industry,2011-07-10,2011-08-26,Q2344633-3F809943-6979-42A0-93EE-49236084BFD6
Q444994,Riek Machar,Q53569601,Vice President of South Sudan,2011-07-09,2013-07-23,Q444994-A9552939-9F3B-4E12-B3A7-B2D05C61410F
Q4664657,Abdallah Albert,Q112686171,Wildlife Conservation and Tourism,2011-07-10,2011-08-26,Q4664657-B1E020F6-1E43-477C-A542-09F72473EBC4
Q4693074,Agnes Kwaje Lasuba,Q112686588,"Gender, Child and Social Welfare",2010-06-21,2013-07-23,Q4693074-C36048D7-31A6-483A-B732-D83E58037FFF
Q4766470,Ann Itto Leonardo,Q112685688,Agriculture,2011-07-10,2011-08-26,Q4766470-B1CC6C06-2DC7-4816-A913-75FAA3E3688E
Q4772949,Anthony Lino Makana,Q112686191,Roads and Transport,2011-07-10,2011-08-26,Q4772949-2D4E729D-BFC1-4E7B-922B-C81AEEFA7F8A
Q4861322,Barnaba Marial Benjamin,Q112686797,Information,2011-07-10,2011-08-26,Q4861322-F6601602-963D-497C-B1BB-D732766B437F
Q4893553,Nhial Deng Nhial,Q112686152,Minster of Defense,2011-07-10,2011-08-26,Q4893553-54333DC7-5F3E-48CF-B9CA-5605BC15F958
Q5121912,Cirino Hetieng Ofuho,Q112686639,Office of the President,2011-07-10,2011-08-26,Q5121912-6F694E34-5BA2-47E1-8023-D92F425F16C0
Q5232921,David Deng Athorbie,Q112686425,Finance and Economic Planning,2011-07,2011-08,Q5232921-ADF7D647-C886-41A8-9CF5-CC12F6A8D4B2
Q5256910,Deng Alor Kuol,Q112686406,Foreign Affairs,2011-07-10,2011-08-26,Q5256910-9E82A3CD-7F18-45A1-9578-034A21259B2A
Q5515569,Gabriel Changson Chang,Q112686075,Culture and Heritage,2011-07-10,2011-08-26,Q5515569-59760171-0484-41EB-8CA2-78C3F9E3E0E2
Q5521927,Garang Diing Akoung,Q112686266,Energy and Mining,2011-07-10,2011-08-07,Q5521927-b00a7687-42cb-9f9e-4dc0-fdd39274cf1e
Q5559789,Gier Choung Aloung,Q112686903,Interior,2011-07-10,2011-08-26,Q5559789-B6FDFABD-CE8F-4267-BD0A-0F8960573F56
Q6245500,John Luk Jok,Q112686712,Minister of Justice,2011,2013,Q6245500-C557D995-A2D8-4957-BC5E-AEFD97FAEE11
Q6287537,Joseph Ukel Abango,Q112686383,"Higher Education, Science and Technology",2011,2013,Q6287537-854FCFBF-D98D-4981-8FC8-D3BBC5F9B529
Q6433547,Kosti Manubi,Q112685940,Minister for Cabinet Affairs,2011-07-10,2011-08-26,Q6433547-4AC75A05-7F45-4F52-B797-6BA686AD05F7
Q6701644,Luka Tombekana Monoja,Q112669693,Health,2011-07-10,2011-08-26,Q6701644-34041E06-C52F-4CBD-A955-4EE0773139B0
Q6728866,Madut Biar Yel,Q112711222,Communication and Postal Services,2011-07-10,2011-08-26,Q6728866-6657807C-F426-4183-A930-730CAD06ED2F
Q6779908,Mary Jarvis Yak,Q112711294,Human Resource Development,2011-07-10,2011-08-26,Q6779908-A1F3CC33-5C2C-4CB9-A145-53EE7DC06E45
Q6832462,Michael Makue Loweth,Q112686629,Parliamentary Affairs,2011-07,2013-07-23,Q6832462-F50F7333-97F4-46C1-8114-82F19481CB89
Q6832832,Michael Milli Husein,Q112686383,General Education,2011-07-10,2011-08-26,Q6832832-71F009A0-C9A5-4BEE-9739-42D48F9B2F5E
Q7152291,Paul Mayom Akech,Q112686748,Irrigation and Water Resources,2011-07,2013,Q7152291-2A9F1C79-3698-4C5A-8E1F-F52082233737
